Academic Year,Module Code,Assessment Pattern Code,Assessment Sequence Number,Assessment Name,Assessment Weight,Assessment Summary,Module Instance Key,Module Delivery Instance Key,Assessment Body Instance Key
2023,COMP0090,COMP0090A7UF,2,Coursework 2 (Group),50,#002 50% GN02 Coursework 2 (Group),2023-COMP0090,2023-COMP0090-A7U,COMP0090A7UF-2
2023,COMP0091,COMP0091A7PF,1,Project/ Dissertation Report,100,#001 100% RN01 Project/ Dissertation Report,2023-COMP0091,2023-COMP0091-A7P,COMP0091A7PF-1
2023,COMP0098,COMP0098A7PF,1,Project/ Dissertation Report,100,#001 100% RN01 Project/ Dissertation Report,2023-COMP0098,2023-COMP0098-A7P,COMP0098A7PF-1
2023,COMP0101,COMP0101A7PF,1,Controlled Condition Exam (In Person),75,#001 75% EC05 Controlled Condition Exam (In Person),2023-COMP0101,2023-COMP0101-A7P,COMP0101A7PF-1
2023,COMP0101,COMP0101A7PF,2,Group Project (with Individual Contribution),25,#002 25% GN01 Group Project (with Individual Contribution),2023-COMP0101,2023-COMP0101-A7P,COMP0101A7PF-2
2023,COMP0101,COMP0101A7UF,1,Controlled Condition Exam (In Person),75,#001 75% EC05 Controlled Condition Exam (In Person),2023-COMP0101,2023-COMP0101-A7U,COMP0101A7UF-1
2023,COMP0101,COMP0101A7UF,2,Group Project (with Individual Contribution),25,#002 25% GN01 Group Project (with Individual Contribution),2023-COMP0101,2023-COMP0101-A7U,COMP0101A7UF-2
2023,COMP0102,COMP0102A7PF,1,Individual Report,50,#001 50% CN01 Individual Report,2023-COMP0102,2023-COMP0102-A7P,COMP0102A7PF-1
2023,COMP0102,COMP0102A7PF,2,Group Project (With Individual Contribution),50,#002 50% GN01 Group Project (With Individual Contribution),2023-COMP0102,2023-COMP0102-A7P,COMP0102A7PF-2
2023,COMP0102,COMP0102A7UF,1,Individual Report,50,#001 50% CN01 Individual Report,2023-COMP0102,2023-COMP0102-A7U,COMP0102A7UF-1
2023,COMP0102,COMP0102A7UF,2,Group Project (With Individual Contribution),50,#002 50% GN01 Group Project (With Individual Contribution),2023-COMP0102,2023-COMP0102-A7U,COMP0102A7UF-2
2023,COMP0103,COMP0103A7PF,1,Controlled Condition Exam (In Person),60,#001 60% EC05 Controlled Condition Exam (In Person),2023-COMP0103,2023-COMP0103-A7P,COMP0103A7PF-1
2023,COMP0103,COMP0103A7PF,2,Coursework 1,20,#002 20% CN01 Coursework 1,2023-COMP0103,2023-COMP0103-A7P,COMP0103A7PF-2
2023,COMP0103,COMP0103A7PF,3,Coursework 2,10,#003 10% CN01 Coursework 2,2023-COMP0103,2023-COMP0103-A7P,COMP0103A7PF-3
2023,COMP0103,COMP0103A7PF,4,Coursework 3,10,#004 10% CN01 Coursework 3,2023-COMP0103,2023-COMP0103-A7P,COMP0103A7PF-4
2023,COMP0103,COMP0103A7UF,1,Controlled Condition Exam (In Person),60,#001 60% EC05 Controlled Condition Exam (In Person),2023-COMP0103,2023-COMP0103-A7U,COMP0103A7UF-1
2023,COMP0103,COMP0103A7UF,2,Coursework 1,20,#002 20% CN01 Coursework 1,2023-COMP0103,2023-COMP0103-A7U,COMP0103A7UF-2
2023,COMP0103,COMP0103A7UF,3,Coursework 2,10,#003 10% CN01 Coursework 2,2023-COMP0103,2023-COMP0103-A7U,COMP0103A7UF-3
2023,COMP0103,COMP0103A7UF,4,Coursework 3,10,#004 10% CN01 Coursework 3,2023-COMP0103,2023-COMP0103-A7U,COMP0103A7UF-4
2023,COMP0104,COMP0104A7PF,1,Controlled Condition Exam (In Person),75,#001 75% EC05 Controlled Condition Exam (In Person),2023-COMP0104,2023-COMP0104-A7P,COMP0104A7PF-1
2023,COMP0104,COMP0104A7PF,2,Coursework 1 (Individual),6,#002 06% CN01 Coursework 1 (Individual),2023-COMP0104,2023-COMP0104-A7P,COMP0104A7PF-2
2023,COMP0104,COMP0104A7PF,3,Coursework 2 (Group),15,#003 15% GN02 Coursework 2 (Group),2023-COMP0104,2023-COMP0104-A7P,COMP0104A7PF-3
2023,COMP0104,COMP0104A7PF,4,Peer Assessment 1,1,#004 01% CN01 Peer Assessment 1,2023-COMP0104,2023-COMP0104-A7P,COMP0104A7PF-4
2023,COMP0104,COMP0104A7PF,5,Peer Assessment 2,1,#005 01% CN01 Peer Assessment 2,2023-COMP0104,2023-COMP0104-A7P,COMP0104A7PF-5
2023,COMP0104,COMP0104A7PF,6,Peer Assessment 3,1,#006 01% CN01 Peer Assessment 3,2023-COMP0104,2023-COMP0104-A7P,COMP0104A7PF-6
2023,COMP0104,COMP0104A7PF,7,Peer Assessment 4,1,#007 01% CN01 Peer Assessment 4,2023-COMP0104,2023-COMP0104-A7P,COMP0104A7PF-7
2023,COMP0104,COMP0104A7UF,1,Controlled Condition Exam (In Person),75,#001 75% EC05 Controlled Condition Exam (In Person),2023-COMP0104,2023-COMP0104-A7U,COMP0104A7UF-1
2023,COMP0104,COMP0104A7UF,2,Coursework 1 (Individual),6,#002 06% CN01 Coursework 1 (Individual),2023-COMP0104,2023-COMP0104-A7U,COMP0104A7UF-2
2023,COMP0104,COMP0104A7UF,3,Coursework 2 (Group),15,#003 15% GN02 Coursework 2 (Group),2023-COMP0104,2023-COMP0104-A7U,COMP0104A7UF-3
2023,COMP0104,COMP0104A7UF,4,Peer Assessment 1,1,#004 01% CN01 Peer Assessment 1,2023-COMP0104,2023-COMP0104-A7U,COMP0104A7UF-4
2023,COMP0104,COMP0104A7UF,5,Peer Assessment 2,1,#005 01% CN01 Peer Assessment 2,2023-COMP0104,2023-COMP0104-A7U,COMP0104A7UF-5
2023,COMP0104,COMP0104A7UF,6,Peer Assessment 3,1,#006 01% CN01 Peer Assessment 3,2023-COMP0104,2023-COMP0104-A7U,COMP0104A7UF-6
2023,COMP0104,COMP0104A7UF,7,Peer Assessment 4,1,#007 01% CN01 Peer Assessment 4,2023-COMP0104,2023-COMP0104-A7U,COMP0104A7UF-7
2023,COMP0105,COMP0105A7PF,1,Controlled Condition Exam (In Person),70,#001 70% EC05 Controlled Condition Exam (In Person),2023-COMP0105,2023-COMP0105-A7P,COMP0105A7PF-1
2023,COMP0105,COMP0105A7PF,2,Coursework (Group),30,#002 30% GN02 Coursework (Group),2023-COMP0105,2023-COMP0105-A7P,COMP0105A7PF-2
2023,COMP0105,COMP0105A7UF,1,Controlled Condition Exam (In Person),70,#001 70% EC05 Controlled Condition Exam (In Person),2023-COMP0105,2023-COMP0105-A7U,COMP0105A7UF-1
2023,COMP0105,COMP0105A7UF,2,Coursework (Group),30,#002 30% GN02 Coursework (Group),2023-COMP0105,2023-COMP0105-A7U,COMP0105A7UF-2
2023,COMP0108,COMP0108A7PF,1,Coursework 1 (Individual),14,#001 14% CN01 Coursework 1 (Individual),2023-COMP0108,2023-COMP0108-A7P,COMP0108A7PF-1
2023,COMP0108,COMP0108A7PF,2,Coursework 2 (Part 1) (Individual),20,#002 20% CN01 Coursework 2 (Part 1) (Individual),2023-COMP0108,2023-COMP0108-A7P,COMP0108A7PF-2
2023,COMP0108,COMP0108A7PF,3,Coursework 2 (Part 2) (Individual),6,#003 06% CN01 Coursework 2 (Part 2) (Individual),2023-COMP0108,2023-COMP0108-A7P,COMP0108A7PF-3
